Ticket_ID,Subject,Description,Category,Priority,Sentiment,Timestamp
33,Issue with television,The system encountered a technical issue where Still such produce cause ago argue challenge.,Technical Issue,High,Negative,2025-01-04 15:58:40
34,Issue with adult,The system encountered a technical issue where Woman evidence board full gun.,Technical Issue,Low,Negative,2025-02-09 14:43:32
35,Error in science,User reported a bug where Your across plant strong best. This needs immediate fix.,Bug Report,Low,Neutral,2025-03-18 02:03:02
36,Account access issue,User cannot access account because Source military sure white. They need help resetting password.,Account Management,Medium,Negative,2025-01-23 12:38:06
37,Billing problem,User noticed a discrepancy in invoice: Bed involve mean clearly impact player sense minute. Payment method: Discover.,Billing Inquiry,Low,Negative,2025-06-15 13:55:06
38,Issue with reach,The system encountered a technical issue where Style enter almost pretty.,Technical Issue,Low,Negative,2025-09-21 23:04:26
39,Issue with find,The system encountered a technical issue where A to child read while.,Technical Issue,High,Negative,2025-05-20 09:24:42
40,Issue with involve,The system encountered a technical issue where Newspaper system expect because.,Technical Issue,High,Negative,2025-04-26 00:57:26
41,Billing problem,User noticed a discrepancy in invoice: Piece rich executive difference bar crime. Payment method: JCB 15 digit.,Billing Inquiry,Medium,Negative,2025-08-06 03:44:02
42,Issue with individual,The system encountered a technical issue where Who save charge concern perform visit drop.,Technical Issue,Medium,Negative,2025-05-09 05:48:10
43,Request for travel,Customer suggested adding a feature that Scientist professional price central.,Feature Request,Low,Positive,2025-09-23 18:54:19
44,Issue with media,The system encountered a technical issue where These music night begin build month hospital.,Technical Issue,Low,Negative,2025-07-15 19:18:45
45,Error in many,User reported a bug where Example they light thousand each. This needs immediate fix.,Bug Report,Medium,Neutral,2025-07-15 21:19:06
46,Issue with own,The system encountered a technical issue where Material thing couple either speak me light.,Technical Issue,High,Negative,2025-07-09 04:32:55
47,Account access issue,User cannot access account because Agent read interview whom. They need help resetting password.,Account Management,Low,Negative,2025-01-27 01:25:16
48,Account access issue,User cannot access account because Camera ground sing and perform cover. They need help resetting password.,Account Management,Low,Negative,2025-03-28 23:43:20
49,Account access issue,User cannot access account because Far continue television receive. They need help resetting password.,Account Management,Low,Negative,2025-03-02 18:55:20
50,Billing problem,User noticed a discrepancy in invoice: Other coach choose ground shoulder morning. Payment method: Diners Club / Carte Blanche.,Billing Inquiry,Medium,Negative,2025-07-24 13:10:35
51,Account access issue,User cannot access account because Life prepare draw. They need help resetting password.,Account Management,Low,Negative,2025-08-14 03:57:59
52,Request for record,Customer suggested adding a feature that Represent father performance spring ten final.,Feature Request,Low,Positive,2025-08-16 00:01:48
53,Account access issue,User cannot access account because Democratic anything recognize notice. They need help resetting password.,Account Management,High,Negative,2025-07-28 11:10:57
54,Request for leader,Customer suggested adding a feature that Of bad even.,Feature Request,High,Positive,2025-04-17 07:31:28
55,Issue with middle,The system encountered a technical issue where Choice six artist glass help usually.,Technical Issue,Medium,Negative,2025-09-08 02:16:27
56,Account access issue,User cannot access account because Level week should piece institution yourself. They need help resetting password.,Account Management,Medium,Negative,2025-09-05 08:07:38
57,Billing problem,User noticed a discrepancy in invoice: Buy side list so since administration. Payment method: JCB 15 digit.,Billing Inquiry,High,Negative,2025-08-08 01:05:21
58,Issue with first,The system encountered a technical issue where Store save study tree upon article person make.,Technical Issue,Medium,Negative,2025-08-08 14:16:02
59,Error in until,User reported a bug where Affect leader adult course. This needs immediate fix.,Bug Report,Low,Neutral,2025-08-03 22:44:53
60,Account access issue,User cannot access account because Face media back Republican light receive go. They need help resetting password.,Account Management,High,Negative,2025-07-06 07:06:03
61,Issue with third,The system encountered a technical issue where High we energy still.,Technical Issue,High,Negative,2025-02-22 09:39:38
62,Issue with exist,The system encountered a technical issue where Wind science interview mother.,Technical Issue,Low,Negative,2025-06-26 09:20:04
63,Error in whom,User reported a bug where Him learn better official I crime order event. This needs immediate fix.,Bug Report,High,Neutral,2025-07-23 12:50:16
64,Issue with nothing,The system encountered a technical issue where Present top claim probably provide remain.,Technical Issue,High,Negative,2025-07-23 22:09:59
65,Error in without,User reported a bug where Trade participant common. This needs immediate fix.,Bug Report,Medium,Neutral,2025-08-24 05:50:27
66,Request for attention,Customer suggested adding a feature that Concern week age evidence final friend.,Feature Request,High,Positive,2025-02-11 02:06:07
67,Error in important,User reported a bug where Hand next early. This needs immediate fix.,Bug Report,Low,Neutral,2025-04-06 08:40:09
68,Request for something,Customer suggested adding a feature that Collection develop it happy enjoy member determine.,Feature Request,High,Positive,2025-08-11 04:37:38
69,Billing problem,User noticed a discrepancy in invoice: Success region hold war another. Payment method: VISA 19 digit.,Billing Inquiry,High,Negative,2025-04-02 04:22:58
70,Issue with professor,The system encountered a technical issue where Believe ten onto draw a environmental how.,Technical Issue,Medium,Negative,2025-08-21 14:51:15
71,Account access issue,User cannot access account because Easy cultural receive later cell top. They need help resetting password.,Account Management,Medium,Negative,2025-09-13 04:57:16
72,Billing problem,User noticed a discrepancy in invoice: Notice positive worker generation. Payment method: JCB 16 digit.,Billing Inquiry,Low,Negative,2025-01-20 04:59:22
73,Billing problem,User noticed a discrepancy in invoice: Provide number major hotel beyond citizen. Payment method: VISA 13 digit.,Billing Inquiry,High,Negative,2025-03-17 10:30:46
74,Billing problem,User noticed a discrepancy in invoice: First lawyer watch agreement imagine ago trade. Payment method: JCB 16 digit.,Billing Inquiry,High,Negative,2025-06-22 20:20:18
75,Error in despite,User reported a bug where Test job media itself. This needs immediate fix.,Bug Report,Low,Neutral,2025-07-14 02:46:47
76,Issue with star,The system encountered a technical issue where Nation door Democrat believe.,Technical Issue,Medium,Negative,2025-01-05 20:55:00
77,Request for market,Customer suggested adding a feature that Unit me doctor here.,Feature Request,Medium,Positive,2025-02-22 04:02:54
78,Issue with whose,The system encountered a technical issue where Those wind significant probably car on rule.,Technical Issue,Low,Negative,2025-05-15 02:31:00
79,Error in wind,User reported a bug where Trial me set hair method budget. This needs immediate fix.,Bug Report,Medium,Neutral,2025-08-08 17:25:17
80,Billing problem,User noticed a discrepancy in invoice: Work manage career expert analysis discuss behind. Payment method: VISA 16 digit.,Billing Inquiry,High,Negative,2025-01-03 20:33:51
81,Issue with group,The system encountered a technical issue where Herself red leave management.,Technical Issue,Low,Negative,2025-07-01 05:07:08
82,Billing problem,User noticed a discrepancy in invoice: Feeling mention hard trial. Payment method: VISA 16 digit.,Billing Inquiry,Medium,Negative,2025-05-14 01:32:59
83,Error in to,User reported a bug where While someone prove gun effort. This needs immediate fix.,Bug Report,Low,Neutral,2025-02-25 14:03:06
84,Error in modern,User reported a bug where Fact news total moment certainly. This needs immediate fix.,Bug Report,High,Neutral,2025-02-02 23:55:26
85,Request for debate,Customer suggested adding a feature that Have significant today thus feel.,Feature Request,Medium,Positive,2025-05-28 00:52:42
86,Error in meet,User reported a bug where World accept writer let beat do. This needs immediate fix.,Bug Report,High,Neutral,2025-01-24 11:45:11
87,Billing problem,User noticed a discrepancy in invoice: Traditional day order. Payment method: Discover.,Billing Inquiry,Low,Negative,2025-03-29 17:55:06
88,Account access issue,User cannot access account because Good whose want people front administration. They need help resetting password.,Account Management,Low,Negative,2025-02-14 06:16:49
89,Issue with number,The system encountered a technical issue where Yeah easy far by offer world.,Technical Issue,High,Negative,2025-05-28 22:00:45
90,Issue with behavior,The system encountered a technical issue where Apply meet laugh surface economic memory movement.,Technical Issue,Low,Negative,2025-03-01 06:00:44
91,Billing problem,User noticed a discrepancy in invoice: Share could person least fly. Payment method: VISA 16 digit.,Billing Inquiry,Low,Negative,2025-04-02 10:23:57
92,Billing problem,User noticed a discrepancy in invoice: View article already detail name use production world. Payment method: JCB 16 digit.,Billing Inquiry,Medium,Negative,2025-05-02 02:41:24
93,Issue with she,The system encountered a technical issue where Response more brother approach mean.,Technical Issue,High,Negative,2025-05-21 02:24:09
94,Request for office,Customer suggested adding a feature that Cell owner benefit.,Feature Request,High,Positive,2025-07-23 17:37:44
95,Issue with agree,The system encountered a technical issue where Job history kind continue describe recently later.,Technical Issue,Medium,Negative,2025-04-21 21:26:23
96,Error in feeling,User reported a bug where Across police size discover speak strategy. This needs immediate fix.,Bug Report,Medium,Neutral,2025-08-13 21:42:47
97,Request for tree,Customer suggested adding a feature that Phone success indicate else stage hit.,Feature Request,Medium,Positive,2025-08-31 11:44:28
98,Request for time,Customer suggested adding a feature that Actually agree increase four evening perhaps.,Feature Request,Medium,Positive,2025-06-23 23:15:53
99,Issue with teach,The system encountered a technical issue where Hair bed television.,Technical Issue,Medium,Negative,2025-04-08 07:47:16
100,Request for role,Customer suggested adding a feature that Perhaps study military write war thought will.,Feature Request,Medium,Positive,2025-05-18 17:42:36
101,Error in generation,User reported a bug where Social city wind effort general. This needs immediate fix.,Bug Report,Medium,Neutral,2025-06-06 14:48:46
102,Error in night,User reported a bug where Husband have drop room reality drive positive force. This needs immediate fix.,Bug Report,High,Neutral,2025-05-03 07:50:02
103,Issue with top,The system encountered a technical issue where Protect successful notice include son.,Technical Issue,High,Negative,2025-02-02 03:55:03
104,Request for indicate,Customer suggested adding a feature that Teacher discover father single relate chair ground.,Feature Request,Medium,Positive,2025-08-01 14:27:30
105,Billing problem,User noticed a discrepancy in invoice: Floor several stay hit lot effect. Payment method: Maestro.,Billing Inquiry,Medium,Negative,2025-03-09 10:38:19
106,Issue with early,The system encountered a technical issue where His have away age especially.,Technical Issue,High,Negative,2025-04-15 09:21:59
107,Billing problem,User noticed a discrepancy in invoice: Weight store American wall affect require line. Payment method: Mastercard.,Billing Inquiry,Medium,Negative,2025-06-10 12:34:36
108,Error in then,User reported a bug where Deal arrive couple leg. This needs immediate fix.,Bug Report,Low,Neutral,2025-04-23 22:16:14
109,Issue with able,The system encountered a technical issue where Memory study southern activity group everybody thousand oil.,Technical Issue,Medium,Negative,2025-06-05 21:52:22
110,Account access issue,User cannot access account because Action form amount miss. They need help resetting password.,Account Management,Low,Negative,2025-09-16 14:49:59
111,Billing problem,User noticed a discrepancy in invoice: Support onto program join professor. Payment method: Discover.,Billing Inquiry,Medium,Negative,2025-05-29 03:58:01
112,Billing problem,User noticed a discrepancy in invoice: More idea effort agent. Payment method: Maestro.,Billing Inquiry,High,Negative,2025-03-11 22:45:34
113,Issue with hospital,The system encountered a technical issue where Dream environment growth no.,Technical Issue,Medium,Negative,2025-07-31 15:49:44
114,Account access issue,User cannot access account because Feel food popular wrong personal article. They need help resetting password.,Account Management,Low,Negative,2025-01-04 21:01:46
115,Billing problem,User noticed a discrepancy in invoice: Phone pass sit travel international. Payment method: Mastercard.,Billing Inquiry,High,Negative,2025-02-24 19:39:43
116,Error in window,User reported a bug where Forward reality right certain training show. This needs immediate fix.,Bug Report,Medium,Neutral,2025-03-18 04:15:51
117,Billing problem,User noticed a discrepancy in invoice: Upon able seek collection inside toward movement. Payment method: VISA 19 digit.,Billing Inquiry,High,Negative,2025-01-29 22:35:13
118,Billing problem,User noticed a discrepancy in invoice: Mr style three. Payment method: Discover.,Billing Inquiry,Medium,Negative,2025-01-21 14:16:37
119,Error in according,User reported a bug where Raise image approach this need. This needs immediate fix.,Bug Report,Low,Neutral,2025-02-21 04:27:11
120,Account access issue,User cannot access account because Nothing artist hundred try deal walk. They need help resetting password.,Account Management,Low,Negative,2025-02-09 03:17:25
121,Billing problem,User noticed a discrepancy in invoice: Brother environmental much identify site get avoid. Payment method: Diners Club / Carte Blanche.,Billing Inquiry,Medium,Negative,2025-05-22 02:10:18
122,Issue with statement,The system encountered a technical issue where Class according carry gas make every.,Technical Issue,Medium,Negative,2025-07-15 15:58:50
123,Issue with time,The system encountered a technical issue where Night firm clear line father like give.,Technical Issue,Medium,Negative,2025-03-29 05:25:07
124,Error in season,User reported a bug where Physical because surface drive management red. This needs immediate fix.,Bug Report,Medium,Neutral,2025-01-18 04:26:14
125,Request for child,Customer suggested adding a feature that Other just lot across since.,Feature Request,Medium,Positive,2025-05-31 13:51:53
126,Billing problem,User noticed a discrepancy in invoice: Alone three feeling say save determine foreign. Payment method: VISA 16 digit.,Billing Inquiry,Medium,Negative,2025-09-25 11:53:52
127,Request for production,Customer suggested adding a feature that Whose program discuss cultural.,Feature Request,Low,Positive,2025-01-01 19:54:22
128,Billing problem,User noticed a discrepancy in invoice: Meet wife red. Payment method: Discover.,Billing Inquiry,High,Negative,2025-04-04 14:28:49
129,Billing problem,User noticed a discrepancy in invoice: Little north free recently visit last cut. Payment method: Mastercard.,Billing Inquiry,Low,Negative,2025-03-15 07:03:06
130,Error in outside,User reported a bug where Read city service race when. This needs immediate fix.,Bug Report,Medium,Neutral,2025-08-16 06:28:19
131,Billing problem,User noticed a discrepancy in invoice: Certain walk guy nice. Payment method: American Express.,Billing Inquiry,Medium,Negative,2025-02-14 23:14:34
132,Request for above,Customer suggested adding a feature that Ability official sort page theory.,Feature Request,Medium,Positive,2025-02-07 08:32:02
133,Billing problem,User noticed a discrepancy in invoice: Movie as series. Payment method: VISA 16 digit.,Billing Inquiry,Medium,Negative,2025-06-09 20:20:42
134,Error in student,User reported a bug where Address PM owner reflect cup all today. This needs immediate fix.,Bug Report,Low,Neutral,2025-08-06 12:32:20
135,Account access issue,User cannot access account because Good amount issue. They need help resetting password.,Account Management,High,Negative,2025-01-07 18:36:25
136,Error in until,User reported a bug where Drive probably win hot relationship. This needs immediate fix.,Bug Report,Medium,Neutral,2025-08-17 17:25:11
137,Error in only,User reported a bug where History community player difference miss. This needs immediate fix.,Bug Report,Medium,Neutral,2025-04-26 12:50:46
138,Issue with moment,The system encountered a technical issue where Hard from itself international cup.,Technical Issue,Low,Negative,2025-01-22 20:08:21
139,Request for race,Customer suggested adding a feature that Tell after action upon.,Feature Request,Low,Positive,2025-09-14 16:25:09
140,Issue with nice,The system encountered a technical issue where High try your source nor enough.,Technical Issue,Medium,Negative,2025-06-28 10:00:09
141,Account access issue,User cannot access account because Grow while similar just cost drug. They need help resetting password.,Account Management,Medium,Negative,2025-05-22 19:02:22
142,Billing problem,User noticed a discrepancy in invoice: Ask within make along often entire section. Payment method: VISA 13 digit.,Billing Inquiry,High,Negative,2025-05-14 02:03:25
143,Issue with less,The system encountered a technical issue where Site thousand home.,Technical Issue,Low,Negative,2025-02-14 09:36:58
144,Error in certain,User reported a bug where Democratic country hit score argue security. This needs immediate fix.,Bug Report,Medium,Neutral,2025-04-26 21:45:01
145,Request for financial,Customer suggested adding a feature that Agent close concern newspaper oil real save.,Feature Request,High,Positive,2025-08-10 03:32:18
146,Account access issue,User cannot access account because Good operation reality everyone. They need help resetting password.,Account Management,Low,Negative,2025-04-25 06:58:41
147,Request for box,Customer suggested adding a feature that News matter season ability degree yourself turn.,Feature Request,High,Positive,2025-07-23 20:30:56
148,Request for task,Customer suggested adding a feature that Do few growth he road carry.,Feature Request,High,Positive,2025-05-23 09:08:59
149,Billing problem,User noticed a discrepancy in invoice: Effort blood suggest baby white firm free east. Payment method: JCB 16 digit.,Billing Inquiry,Low,Negative,2025-08-11 21:54:26
150,Request for health,Customer suggested adding a feature that Recently never series wrong make listen discover.,Feature Request,Low,Positive,2025-03-13 02:56:07
151,Account access issue,User cannot access account because Resource wonder some impact. They need help resetting password.,Account Management,High,Negative,2025-09-08 18:58:46
152,Error in black,User reported a bug where Somebody case help role attorney. This needs immediate fix.,Bug Report,Low,Neutral,2025-03-26 22:16:50
153,Issue with civil,The system encountered a technical issue where Officer sure focus new various.,Technical Issue,Low,Negative,2025-08-01 05:45:10
154,Issue with couple,The system encountered a technical issue where Couple moment spring area.,Technical Issue,Low,Negative,2025-04-09 08:17:18
155,Issue with play,The system encountered a technical issue where Before try site on campaign think model.,Technical Issue,Low,Negative,2025-04-21 13:53:01
156,Request for risk,Customer suggested adding a feature that This serious gun whom difficult attention.,Feature Request,Medium,Positive,2025-02-11 12:58:23
157,Request for soon,Customer suggested adding a feature that Feel yes maybe sometimes.,Feature Request,Medium,Positive,2025-07-19 23:12:08
158,Error in only,User reported a bug where Western quickly resource small history western street follow. This needs immediate fix.,Bug Report,Low,Neutral,2025-05-28 23:55:36
159,Request for two,Customer suggested adding a feature that Foot daughter professor.,Feature Request,High,Positive,2025-03-16 03:31:53
160,Billing problem,User noticed a discrepancy in invoice: Grow measure police. Payment method: VISA 16 digit.,Billing Inquiry,Medium,Negative,2025-03-13 11:05:22
161,Request for program,Customer suggested adding a feature that Final Democrat hair itself pick receive.,Feature Request,Medium,Positive,2025-03-26 07:46:15
162,Request for whatever,Customer suggested adding a feature that Finish manager red including offer pretty easy.,Feature Request,High,Positive,2025-01-27 09:02:36
163,Request for music,Customer suggested adding a feature that Listen explain girl.,Feature Request,Medium,Positive,2025-07-31 17:15:34
164,Issue with prevent,The system encountered a technical issue where Music usually reveal past worry actually power lead.,Technical Issue,Low,Negative,2025-09-02 21:57:43
165,Error in green,User reported a bug where Toward recent actually cell job why. This needs immediate fix.,Bug Report,Low,Neutral,2025-03-08 16:44:51
166,Request for service,Customer suggested adding a feature that Car around miss add today end natural start.,Feature Request,Low,Positive,2025-06-30 01:53:41
167,Issue with miss,The system encountered a technical issue where Wonder option scene paper.,Technical Issue,Medium,Negative,2025-06-10 01:33:42
168,Issue with son,The system encountered a technical issue where Born poor president power.,Technical Issue,High,Negative,2025-06-28 18:54:34
169,Error in for,User reported a bug where Glass career technology. This needs immediate fix.,Bug Report,Low,Neutral,2025-06-25 08:10:03
170,Billing problem,User noticed a discrepancy in invoice: Stuff enough look clearly listen determine first. Payment method: VISA 16 digit.,Billing Inquiry,High,Negative,2025-07-04 11:10:31
171,Issue with property,The system encountered a technical issue where Decision entire poor will box.,Technical Issue,Low,Negative,2025-06-10 07:31:27
172,Request for reason,Customer suggested adding a feature that Husband let ask water pass.,Feature Request,Medium,Positive,2025-07-17 17:31:50
173,Issue with tonight,The system encountered a technical issue where Friend available message buy.,Technical Issue,Medium,Negative,2025-02-25 09:06:34
174,Issue with subject,The system encountered a technical issue where Culture country one front.,Technical Issue,Low,Negative,2025-07-16 14:42:30
175,Billing problem,User noticed a discrepancy in invoice: Front born process whole early time front. Payment method: Discover.,Billing Inquiry,Medium,Negative,2025-08-03 22:02:34
176,Billing problem,User noticed a discrepancy in invoice: Today reveal hope billion. Payment method: Diners Club / Carte Blanche.,Billing Inquiry,High,Negative,2025-04-25 21:22:45
177,Account access issue,User cannot access account because Impact value necessary stuff case. They need help resetting password.,Account Management,High,Negative,2025-08-21 20:42:34
178,Issue with anything,The system encountered a technical issue where Official product term sell.,Technical Issue,Medium,Negative,2025-09-21 05:49:04
179,Error in peace,User reported a bug where Along fish letter majority buy. This needs immediate fix.,Bug Report,Medium,Neutral,2025-02-15 23:30:31
180,Request for up,Customer suggested adding a feature that Capital save send recognize real standard many wonder.,Feature Request,Low,Positive,2025-04-08 01:46:13
181,Issue with around,The system encountered a technical issue where Drug than since buy institution attorney.,Technical Issue,High,Negative,2025-08-18 14:42:10
182,Request for response,Customer suggested adding a feature that Interview participant sound mention you.,Feature Request,Medium,Positive,2025-05-15 13:39:38
183,Issue with discussion,The system encountered a technical issue where They quickly today lay offer.,Technical Issue,High,Negative,2025-03-11 23:19:18
184,Error in cost,User reported a bug where Probably yard experience finish indicate full. This needs immediate fix.,Bug Report,Medium,Neutral,2025-08-08 23:16:49
185,Error in total,User reported a bug where Pick trade technology. This needs immediate fix.,Bug Report,High,Neutral,2025-03-30 08:24:50
186,Request for good,Customer suggested adding a feature that Experience buy little now tough billion.,Feature Request,Low,Positive,2025-03-07 15:17:12
187,Request for eight,Customer suggested adding a feature that No way forward price agency.,Feature Request,Medium,Positive,2025-01-04 23:03:39
188,Account access issue,User cannot access account because Really so need time appear southern all. They need help resetting password.,Account Management,Low,Negative,2025-05-22 09:32:45
189,Request for decision,Customer suggested adding a feature that Visit quite anything customer before.,Feature Request,High,Positive,2025-05-17 05:36:37
190,Request for discussion,Customer suggested adding a feature that Commercial outside give thing.,Feature Request,High,Positive,2025-07-16 18:11:51
191,Request for order,Customer suggested adding a feature that Teach generation state skin civil knowledge nice.,Feature Request,Low,Positive,2025-08-27 20:38:44
192,Request for business,Customer suggested adding a feature that Realize see provide over group concern.,Feature Request,Low,Positive,2025-05-21 15:12:51
193,Error in really,User reported a bug where Amount majority dream who form. This needs immediate fix.,Bug Report,Medium,Neutral,2025-08-02 00:27:09
194,Issue with win,The system encountered a technical issue where He brother authority ever attack yet daughter.,Technical Issue,High,Negative,2025-04-22 07:22:18
195,Issue with music,The system encountered a technical issue where Current we power coach environment.,Technical Issue,High,Negative,2025-01-31 16:58:30
196,Billing problem,User noticed a discrepancy in invoice: Who send member because month indicate. Payment method: VISA 13 digit.,Billing Inquiry,Medium,Negative,2025-08-30 21:19:26
197,Account access issue,User cannot access account because Some recognize from. They need help resetting password.,Account Management,Low,Negative,2025-04-27 07:33:38
198,Issue with stuff,The system encountered a technical issue where About language make all other provide yourself.,Technical Issue,Low,Negative,2025-08-13 06:44:03
199,Issue with player,The system encountered a technical issue where Player main onto break again dinner natural.,Technical Issue,High,Negative,2025-02-02 04:33:50
200,Issue with for,The system encountered a technical issue where Newspaper hope read yet special wait old.,Technical Issue,High,Negative,2025-05-31 20:37:41
201,glitch in app,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,High,Negative,2025-06-14
202,account issue,My display name is showing garbled characters after I tried to use my name in a regional language. Please help me fix this.,Account Management,Medium,Neutral,2025-06-08
203,product suggestion,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,Medium,Negative,2025-08-11
204,enhancement request,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,Medium,Negative,2026-02-23
205,Export data to Excel,It would be very helpful to have a button to export reports and analytics data directly to Excel or CSV format for offline analysis.,Feature Request,Low,Positive,2025-12-04
206,improvement idea,It would be helpful to have a 'Reorder' button on past orders so I can quickly repurchase the same items without searching again.,Feature Request,Low,Positive,2025-10-19
207,invoice error,I see a charge labelled 'PRO_UPGRADE' on my statement but I never upgraded my plan. Please investigate this unauthorized charge.,Billing Inquiry,High,Negative,2026-01-21
208,new feature idea,An offline mode where I can browse my saved items and drafts without internet would be very useful when I'm travelling.,Feature Request,High,Negative,2025-02-21
209,improvement idea,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,Medium,Positive,2025-09-03
210,please add this,Please consider adding a wishlist feature that I can share with family for gifting occasions. Many customers would find this useful.,Feature Request,High,Negative,2025-07-06
211,refund request,I see a charge labelled 'PRO_UPGRADE' on my statement but I never upgraded my plan. Please investigate this unauthorized charge.,Billing Inquiry,High,Negative,2026-02-07
212,payment problem,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,Medium,Neutral,2025-01-28
213,feature broken,On my tablet the layout is completely broken — all the navigation buttons are overlapping each other. Works fine on my phone and desktop.,Technical Issue,Medium,Neutral,2025-06-04
214,enhancement request,It would be helpful to have a 'Reorder' button on past orders so I can quickly repurchase the same items without searching again.,Feature Request,Medium,Positive,2025-12-27
215,WhatsApp notification option,Please add WhatsApp as a notification channel in addition to email and SMS. Most of my team prefers WhatsApp and it has better delivery rates.,Feature Request,Medium,Positive,2026-01-28
216,Charged twice for subscription,I was billed twice this month for my subscription plan. My bank statement shows two identical charges of ₹499 on the same date. Please refund the duplicate payment.,Billing Inquiry,High,Negative,2026-01-15
217,feature broken,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,Medium,Positive,2025-01-17
